filename,optimal,optimizerOnly,topDown,bottomUp,euclidean,horizontal,hop,topDownPlus,bottomUpPlus,euclideanPlus,horizontalPlus,hopPlus
cluster-n85-c10-r7-s-7358297094637217964.json,505,505,941,511,507,588,563,505,506,505,506,505
cluster-n85-c10-r8-s8925263588453694120.json,766,766,1004,771,770,861,841,766,769,766,767,766
cluster-n85-c10-r9-s-5157779626810751691.json,631,632,841,634,635,727,732,631,632,632,632,632
cluster-n90-c11-r0-s-5052002598032030474.json,843,868,1005,850,877,928,930,843,843,867,868,868
cluster-n90-c11-r1-s7303689832999308642.json,611,613,716,612,617,704,713,612,611,612,612,612
cluster-n90-c11-r2-s7996261288289781424.json,890,892,1164,893,977,1179,1093,890,890,890,890,890
cluster-n90-c11-r3-s-3808162511205526765.json,433,433,572,441,510,554,540,434,433,433,434,433
cluster-n90-c11-r4-s-7583107156058629055.json,349,352,720,353,353,443,413,349,351,352,355,349
cluster-n90-c11-r5-s-6091984701369478065.json,1006,1125,1500,1010,1016,1475,1254,1006,1006,1006,1006,1006
cluster-n90-c11-r6-s-6916922032255500397.json,698,698,885,701,708,826,814,709,698,700,709,698
cluster-n90-c11-r7-s-8187960511777098016.json,814,815,1408,814,880,910,1023,814,814,861,862,861
cluster-n90-c11-r8-s-8266873220921157988.json,785,785,1152,788,859,1200,1236,785,787,787,785,785
cluster-n90-c11-r9-s-5234647896416602497.json,332,336,619,335,341,378,600,334,334,334,336,332
cluster-n95-c11-r0-s-5060265022705385706.json,917,917,1039,920,925,1010,1032,921,917,917,919,921
cluster-n95-c11-r1-s4494656194940828036.json,666,683,764,670,671,802,812,683,666,666,683,666
cluster-n95-c11-r2-s5256681972809609792.json,907,910,1424,915,913,1057,1044,908,907,908,909,908
cluster-n95-c11-r3-s-5442540483618834601.json,676,677,825,684,683,790,740,676,684,676,676,684
cluster-n95-c11-r4-s8116051873368703270.json,501,502,580,504,509,580,580,505,501,505,501,504
cluster-n95-c11-r5-s631741539868277555.json,628,628,949,655,664,954,925,628,628,628,628,629
cluster-n95-c11-r6-s-8898505920986121594.json,673,673,900,675,681,942,759,673,673,673,673,673
cluster-n95-c11-r7-s6110466493412922524.json,484,512,989,517,519,798,730,511,511,511,511,513
cluster-n95-c11-r8-s-1993836903542627741.json,426,426,662,430,434,650,542,426,426,426,426,426
cluster-n95-c11-r9-s-5618989261625725713.json,901,910,1181,910,914,1204,1014,904,908,901,908,910
coast-n10-r0-s-4972683369271453960.json,11,11,14,11,11,13,14,11,11,11,11,11
coast-n10-r1-s4755622236989466036.json,4,4,4,4,4,5,4,4,4,4,4,4
coast-n10-r2-s1092083446069765248.json,1,1,2,1,1,1,1,1,1,1,1,1
coast-n10-r3-s4503168388465453601.json,11,11,23,11,11,13,13,11,11,11,11,11
